# Column     Data                Source
# ------     ----                ------
# Molecule   Molecule name       --
# Iso        Isotope ID          AFGL code
# Iso ratio  Isotopic ratio      Simeckova et al. (2006), Rothman et al. (2013)
# Iso mass   Isotopic mass (amu) Lide (2008) Handbook of chem.

# Molecule  Iso    Iso ratio    Iso mass
H2O         161    9.973e-01    18.0105646
H2O         181    1.999e-03    20.014811
H2O         171    3.719e-04    19.014781
H2O         162    3.107e-04    19.016841
H2O         182    6.230e-07    21.021088
H2O         172    1.158e-07    20.021058
CO2         626    9.842e-01    43.98982920
CO2         636    1.106e-02    44.99318400
CO2         628    3.947e-03    45.99407560
CO2         627    7.340e-04    44.99404630
CO2         638    4.434e-05    46.99743043
CO2         637    8.246e-06    45.99740113
CO2         828    3.957e-06    47.99832200
CO2         728    1.472e-06    46.99829270
CO2         727    1.368e-07    45.99826370
CO2         838    4.446e-08    49.00167680
O3          666    9.929e-01    47.98474386
O3          668    3.982e-03    49.98899024
O3          686    1.991e-03    49.98899024
O3          667    7.405e-04    48.98896094
O3          676    3.702e-04    48.98896094
N2O         446    9.903e-01    44.00106263
N2O         456    3.641e-03    44.99809752
N2O         546    3.641e-03    44.99809752
N2O         448    1.986e-03    46.00530901
N2O         447    3.693e-04    45.00527971
CO           26    9.865e-01    27.99491460
CO           36    1.108e-02    28.99826943
CO           28    1.978e-03    29.99916100
CO           27    3.679e-04    28.99913170
CO           38    2.223e-05    31.00251583
CO           37    4.133e-06    30.00248653
CH4         211    9.883e-01    16.031300
CH4         311    1.110e-02    17.034655
CH4         212    6.158e-04    17.037577
CH4         312    6.918e-06    18.040932
O2           66    9.953e-01    31.98982924
O2           68    3.991e-03    33.99407562
O2           67    7.422e-04    32.99404632
NO           46    9.940e-01    29.99798862
NO           56    3.654e-03    30.99502352
NO           48    1.993e-03    32.00223500
SO2         626    9.457e-01    63.96190024
SO2         646    4.195e-02    65.95769614
NO2         646    9.916e-01    45.99290324
NH3        4111    9.959e-01    17.02549
NH3        5111    3.661e-03    18.02358
HNO3        146    9.891e-01    62.99564289
HNO3        156    3.636e-03    63.99267778
OH           61    9.975e-01    17.00273965
OH           81    2.000e-03    19.00698603
OH           62    1.554e-04    18.00901639
HF           19    9.998e-01    20.00622825
HF           29    1.557e-04    21.01250499
HCl          15    7.576e-01    35.97667771
HCl          17    2.423e-01    37.97372762
HCl          25    1.180e-04    36.98295446
HCl          27    3.774e-05    38.98000437
HBr          19    5.068e-01    79.92616213
HBr          11    4.931e-01    81.92411563
HBr          29    7.894e-05    80.93243888
HBr          21    7.680e-05    82.93039238
HI           17    9.998e-01   127.9122980
HI           27    1.557e-04   128.9185748
ClO          56    7.559e-01    50.96376729
ClO          76    2.417e-01    52.96081721
OCS         622    9.374e-01    59.96698562
OCS         624    4.158e-02    61.96278152
OCS         632    1.053e-02    60.97034046
OCS         623    7.399e-03    60.96637338
OCS         822    1.880e-03    61.97306827
H2CO        126    9.862e-01    30.01056469
H2CO        136    1.108e-02    31.01391952
H2CO        128    1.978e-03    32.01481106
HOCl        165    7.558e-01    51.97159233
HOCl        167    2.417e-01    53.96864224
N2           44    9.927e-01    28.00614801
N2           45    7.478e-03    29.00318290
HCN         124    9.851e-01    27.010899
HCN         134    1.107e-02    28.014254
HCN         125    3.622e-03    28.007934
CH3Cl       215    7.489e-01    49.99232778
CH3Cl       217    2.395e-01    51.98937769
H2O2       1661    9.950e-01    34.00547930
C2H2       1221    9.776e-01    26.015650
C2H2       1231    2.197e-02    27.019005
C2H2       1222    3.046e-04    27.021927
C2H6       1221    9.770e-01    30.04695019                  
C2H6       1231    2.195e-02    31.05030503
PH3        1111    9.995e-01    33.99723673
COF2        269    9.865e-01    65.99172106
COF2        369    1.108e-02    66.99507589
SF6          29    9.502e-01   145.9624903
H2S         121    9.499e-01    33.98772106
H2S         141    4.214e-02    35.98351696
H2S         131    7.498e-03    34.98710882
HCOOH       126    9.839e-01    46.00547930
HO2         166    9.951e-01    32.99765427
O             6    9.976e-01    15.99491462
ClONO2     5646    7.496e-01    96.95667054
ClONO2     7646    2.397e-01    98.95372045
NO+          46    9.940e-01    29.99744001
HOBr        169    5.056e-01    95.92107675
HOBr        161    4.919e-01    97.91903025
C2H4        221    9.773e-01    29.03465497
C2H4        231    2.196e-02    28.03130013
CH3OH      2161    9.859e-01    32.02621475
CH3Br       219    5.010e-01    93.94181219
CH3Br       211    4.874e-01    95.93976569
CH3CN      2124    9.739e-01    41.02654910
CF4          29    9.889e-01    87.99361288
C4H2       2211    9.560e-01    50.01565006
HC3N      12224    9.633e-01    51.01089903
H2           11    9.997e-01     2.01565006
H2           12    3.114e-04     3.02192681
CS           22    9.396e-01    43.97207100
CS           24    4.168e-02    45.96786690
CS           32    1.056e-02    44.97542583
CS           23    7.417e-03    44.97145876
SO3          26    9.434e-01    95.95172944
C2N2       4224    0            0
C2N2       5225    0            0
SO           26    0            0
SO           46    0            0
SO           28    0            0
C3H4       1221    0            0
CH3        2111    0            0
CS2         222    0            0
CS2         224    0            0
CS2         223    0            0
CS2         232    0            0
